,TARA_056_MES_0.22-3,TARA_056_SRF_0.22-3,TARA_057_SRF_0.22-3,TARA_058_DCM_0.22-3,TARA_062_SRF_0.22-3,TARA_064_DCM_0.22-3,TARA_064_MES_0.22-3,TARA_064_SRF_0.22-3,TARA_065_DCM_0.22-3,TARA_065_MES_0.22-3,TARA_065_SRF_0.22-3,TARA_066_DCM_0.22-3,TARA_066_SRF_0.22-3,TARA_067_SRF_0.22-3,TARA_068_DCM_0.22-3,TARA_068_MES_0.22-3,TARA_068_SRF_0.22-3,TARA_070_MES_0.22-3,TARA_070_SRF_0.22-3,TARA_072_DCM_0.22-3,TARA_072_MES_0.22-3,TARA_072_SRF_0.22-3,TARA_076_DCM_0.22-3,TARA_076_MES_0.22-3,TARA_076_SRF_0.22-3,TARA_078_DCM_0.22-3,TARA_078_MES_0.22-3,TARA_078_SRF_0.22-3,TARA_082_DCM_0.22-3,TARA_082_SRF_0.22-3,TARA_084_SRF_0.22-3,TARA_085_DCM_0.22-3,TARA_085_MES_0.22-3,TARA_085_SRF_0.22-3,TARA_093_DCM_0.22-3,TARA_093_SRF_0.22-3,TARA_094_SRF_0.22-3,TARA_096_SRF_0.22-3,TARA_098_DCM_0.22-3,TARA_098_MES_0.22-3,TARA_098_SRF_0.22-3,TARA_099_SRF_0.22-3,TARA_100_DCM_0.22-3,TARA_100_MES_0.22-3,TARA_100_SRF_0.22-3,TARA_102_DCM_0.22-3,TARA_102_MES_0.22-3,TARA_102_SRF_0.22-3,TARA_109_DCM_0.22-3,TARA_109_MES_0.22-3,TARA_109_SRF_0.22-3,TARA_110_DCM_0.22-3,TARA_110_MES_0.22-3,TARA_110_SRF_0.22-3,TARA_111_DCM_0.22-3,TARA_111_MES_0.22-3,TARA_111_SRF_0.22-3,TARA_112_DCM_0.22-3,TARA_112_MES_0.22-3,TARA_112_SRF_0.22-3,TARA_122_DCM_0.22-3,TARA_122_MES_0.22-3,TARA_122_SRF_0.22-3,TARA_123_MIX_0.22-3,TARA_123_SRF_0.22-3,TARA_124_MIX_0.22-3,TARA_124_SRF_0.22-3,TARA_125_MIX_0.22-3,TARA_125_SRF_0.22-3,TARA_128_DCM_0.22-3,TARA_128_SRF_0.22-3,TARA_132_DCM_0.22-3,TARA_132_MES_0.22-3,TARA_132_SRF_0.22-3,TARA_133_DCM_0.22-3,TARA_133_MES_0.22-3,TARA_133_SRF_0.22-3,TARA_137_DCM_0.22-3,TARA_137_MES_0.22-3,TARA_137_SRF_0.22-3,TARA_138_DCM_0.22-3,TARA_138_MES_0.22-3,TARA_138_SRF_0.22-3,TARA_140_SRF_0.22-3,TARA_141_SRF_0.22-3,TARA_142_DCM_0.22-3,TARA_142_MES_0.22-3,TARA_142_SRF_0.22-3,TARA_145_MES_0.22-3,TARA_145_SRF_0.22-3,TARA_146_MES_0.22-3,TARA_146_SRF_0.22-3,TARA_148_SRF_0.22-3,TARA_148b_MES_0.22-3,TARA_149_MES_0.22-3,TARA_149_SRF_0.22-3,TARA_150_DCM_0.22-3,TARA_150_SRF_0.22-3,TARA_151_DCM_0.22-3,TARA_151_SRF_0.22-3,TARA_152_MES_0.22-3,TARA_152_MIX_0.22-3,TARA_152_SRF_0.22-3
00010 Glycolysis / Gluconeogenesis [PATH:ko00010],0.025124,0.02339,0.023325,0.022935,0.023384,0.024658,0.025366,0.023694,0.024071,0.025355,0.023292,0.023233,0.023224,0.023101,0.022616,0.024549,0.02238,0.023386,0.02359,0.022779,0.023779,0.022723,0.023583,0.025076,0.022894,0.023174,0.024461,0.022818,0.023147,0.022989,0.023463,0.02369,0.024733,0.023341,0.023177,0.022836,0.022545,0.022859,0.022904,0.02509,0.023016,0.022804,0.022438,0.023965,0.023397,0.022799,0.024584,0.023335,0.023034,0.02401,0.023522,0.023095,0.023992,0.02341,0.022635,0.024449,0.023179,0.023087,0.025402,0.023073,0.022595,0.024852,0.023471,0.023851,0.023638,0.023862,0.02343,0.023946,0.023648,0.02382,0.023965,0.02273,0.024599,0.023579,0.022387,0.025263,0.022423,0.024081,0.024861,0.023446,0.023063,0.025043,0.023413,0.023351,0.023317,0.02412,0.024879,0.024005,0.025148,0.023827,0.025007,0.023486,0.023471,0.024951,0.025032,0.023657,0.022775,0.023027,0.023636,0.023069,0.025023,0.023336,0.023433
00020 Citrate cycle (TCA cycle) [PATH:ko00020],0.020586,0.018439,0.019038,0.018674,0.019027,0.021443,0.021508,0.019206,0.0212,0.02153,0.02054,0.020921,0.020561,0.019214,0.018754,0.020927,0.018457,0.019685,0.020211,0.020539,0.018841,0.017688,0.019918,0.020769,0.018504,0.020062,0.020469,0.018141,0.020449,0.020081,0.0205,0.019855,0.020617,0.020253,0.020787,0.019741,0.020006,0.01983,0.020044,0.02141,0.019672,0.019207,0.020171,0.020415,0.02021,0.019744,0.020822,0.020168,0.019556,0.020583,0.019607,0.020794,0.020697,0.020198,0.020286,0.021083,0.020301,0.020017,0.021581,0.019219,0.020202,0.021034,0.020566,0.02138,0.02107,0.021333,0.020084,0.020899,0.021044,0.020414,0.020285,0.020335,0.020965,0.018877,0.019179,0.021195,0.019244,0.020769,0.020968,0.020158,0.02114,0.020799,0.018932,0.019148,0.019108,0.020546,0.02114,0.020436,0.021211,0.021229,0.021617,0.021111,0.020828,0.022284,0.021604,0.021302,0.020091,0.020012,0.02127,0.020711,0.021648,0.020721,0.020645
00030 Pentose phosphate pathway [PATH:ko00030],0.014482,0.014913,0.014464,0.014822,0.014826,0.0146,0.013356,0.014537,0.013608,0.01341,0.013675,0.012515,0.012605,0.012473,0.013543,0.012832,0.013543,0.014,0.013355,0.01346,0.014841,0.015117,0.014687,0.013396,0.014035,0.013378,0.013197,0.014019,0.011695,0.011705,0.012191,0.012683,0.013257,0.012181,0.01303,0.012904,0.012847,0.013071,0.013757,0.013364,0.013239,0.013584,0.013161,0.012393,0.013502,0.013432,0.012777,0.013045,0.013269,0.012301,0.013692,0.013366,0.012886,0.013164,0.013345,0.01286,0.013195,0.013967,0.013788,0.014172,0.013741,0.013427,0.013452,0.013129,0.013314,0.013368,0.013671,0.013359,0.013376,0.013598,0.013729,0.014311,0.012994,0.014367,0.013245,0.013079,0.013301,0.013301,0.013884,0.013316,0.013222,0.014152,0.014643,0.015519,0.013968,0.013868,0.013358,0.013692,0.013308,0.012673,0.013051,0.012821,0.013113,0.013308,0.013041,0.012889,0.013714,0.013479,0.012977,0.013482,0.013185,0.01328,0.013319
00040 Pentose and glucuronate interconversions [PATH:ko00040],0.0045102,0.0039771,0.0039224,0.0040347,0.004078,0.0038323,0.0038668,0.0039071,0.0040835,0.0039539,0.0042532,0.0039312,0.0039604,0.0046519,0.0038279,0.0038409,0.0039198,0.0049146,0.0043034,0.0040832,0.0043161,0.0045026,0.0049617,0.0040548,0.0041364,0.004216,0.0039079,0.0039627,0.0039117,0.0040022,0.004048,0.003514,0.0040821,0.003395,0.0043408,0.0043302,0.0042425,0.004407,0.0038967,0.0038866,0.00421,0.0042425,0.0039744,0.0035584,0.0045152,0.0042597,0.0035524,0.0043823,0.0043515,0.0037216,0.0043579,0.0043294,0.0039266,0.0044007,0.0039693,0.003663,0.0043258,0.0041377,0.0042814,0.0041291,0.0043719,0.003976,0.0040815,0.0043316,0.0043078,0.0044874,0.0041401,0.0046425,0.0038702,0.0042023,0.0041559,0.0039576,0.0039564,0.0040371,0.0043198,0.0036822,0.0043543,0.0035479,0.0037395,0.0040496,0.0037716,0.0038263,0.004007,0.0042163,0.0041974,0.0039645,0.0040244,0.0038289,0.0039301,0.0036564,0.0039371,0.0039331,0.0039616,0.0041651,0.003815,0.0039114,0.0041535,0.0039804,0.0041203,0.0041422,0.0037887,0.0040203,0.0039329
00051 Fructose and mannose metabolism [PATH:ko00051],0.011319,0.011839,0.01156,0.012791,0.0123,0.011207,0.010096,0.01127,0.011138,0.010176,0.0117,0.010242,0.010398,0.010246,0.010358,0.0097626,0.010272,0.010849,0.010145,0.01193,0.012012,0.013103,0.012724,0.010373,0.010914,0.010823,0.010299,0.010928,0.0091093,0.0089274,0.0087824,0.0093125,0.0099746,0.0089996,0.0094302,0.0099678,0.010339,0.010604,0.010968,0.010057,0.010647,0.010434,0.010902,0.0094941,0.011005,0.011683,0.009647,0.010922,0.011273,0.0090523,0.010986,0.011731,0.010154,0.010797,0.011155,0.0094449,0.010767,0.011198,0.010271,0.010898,0.011531,0.010226,0.010978,0.011032,0.011507,0.011409,0.010997,0.011069,0.011433,0.011042,0.010831,0.01208,0.009724,0.010947,0.011839,0.009917,0.010942,0.010029,0.010365,0.011325,0.012001,0.01024,0.011597,0.011895,0.01075,0.011097,0.0098103,0.011236,0.010261,0.009919,0.009695,0.010919,0.010825,0.010348,0.0097868,0.01084,0.011797,0.011061,0.010661,0.011545,0.0096828,0.010685,0.010554
00052 Galactose metabolism [PATH:ko00052],0.0068508,0.005355,0.0053878,0.0057588,0.0056698,0.0049858,0.006239,0.0051486,0.0054289,0.0062839,0.0055954,0.0052759,0.0053823,0.0058143,0.0052545,0.0058389,0.0051417,0.0063748,0.0053085,0.0056768,0.0061155,0.0061713,0.0068131,0.0063765,0.0052686,0.0054747,0.0059546,0.0051264,0.0056509,0.005617,0.0052658,0.0059921,0.0065587,0.0056835,0.0053701,0.0054302,0.0052468,0.0054539,0.0054383,0.0062552,0.0053435,0.0053259,0.0054571,0.0061083,0.0057444,0.0056611,0.0059569,0.0055427,0.0057948,0.0059255,0.0056033,0.0059641,0.0059978,0.005614,0.0055392,0.0059678,0.0055039,0.0056791,0.0065482,0.0053647,0.0059239,0.0061167,0.0054735,0.0063321,0.0060962,0.0061306,0.0054244,0.0065106,0.005429,0.0056757,0.0055579,0.0057086,0.0061786,0.0051669,0.0057994,0.0061801,0.0056354,0.0066888,0.0067034,0.0053116,0.0054257,0.0068486,0.0053015,0.0058076,0.0054443,0.0055365,0.0064954,0.0054796,0.006186,0.0050057,0.0061323,0.0054363,0.0053435,0.0062257,0.0060474,0.0053337,0.0057349,0.0053246,0.0054506,0.0055734,0.005926,0.0053367,0.0051153
00053 Ascorbate and aldarate metabolism [PATH:ko00053],0.0040313,0.0042948,0.0043586,0.0044597,0.00446,0.0045534,0.0041033,0.0042904,0.0046412,0.0040368,0.0046876,0.0047299,0.0047465,0.004939,0.0042982,0.0042202,0.0043609,0.0035024,0.0045294,0.0048017,0.0042361,0.0048171,0.0046399,0.0040724,0.0043169,0.0044482,0.0042616,0.0043589,0.0047927,0.0046292,0.0044904,0.0047163,0.0044044,0.0046617,0.0050704,0.0051824,0.0051785,0.0047894,0.0042137,0.0040203,0.0046095,0.0044357,0.0045944,0.0040682,0.004918,0.0053085,0.0037117,0.0051195,0.0049909,0.0038648,0.0047335,0.0050175,0.0042454,0.0049897,0.0047194,0.0038347,0.0049417,0.0042282,0.0040786,0.0043122,0.0045748,0.004115,0.0047684,0.0041851,0.0049856,0.0045553,0.004707,0.0043821,0.0047813,0.004607,0.0045445,0.0044819,0.0041552,0.0041584,0.005367,0.0040161,0.0050824,0.0039504,0.0037503,0.0048545,0.0048852,0.0036771,0.0043157,0.0043115,0.0043945,0.0042568,0.0037863,0.0042305,0.0041333,0.004367,0.0041716,0.0044108,0.0044566,0.0039262,0.0040854,0.0045753,0.0047105,0.0047066,0.0046692,0.0048858,0.0040951,0.0046885,0.004757
00061 Fatty acid biosynthesis [PATH:ko00061],0.011503,0.013563,0.013829,0.013436,0.013476,0.01379,0.011711,0.013632,0.013885,0.011582,0.013637,0.013451,0.013372,0.013329,0.013506,0.012031,0.013282,0.01167,0.01349,0.013571,0.012356,0.012856,0.013461,0.01183,0.013299,0.013765,0.011701,0.013375,0.013835,0.014039,0.013798,0.014012,0.013106,0.01381,0.013899,0.013475,0.014323,0.014667,0.013936,0.011903,0.014281,0.014616,0.013645,0.013923,0.014372,0.013181,0.011341,0.013946,0.013937,0.012566,0.014127,0.013339,0.012866,0.01382,0.013711,0.012297,0.01409,0.013932,0.012208,0.014012,0.014253,0.012143,0.014084,0.013858,0.013663,0.013822,0.014097,0.013756,0.014003,0.013894,0.014005,0.012916,0.012466,0.013995,0.012931,0.011389,0.01371,0.014607,0.014073,0.013915,0.012608,0.014242,0.013943,0.013706,0.014331,0.013867,0.01159,0.013848,0.012067,0.013186,0.012022,0.013679,0.013885,0.012894,0.011662,0.013704,0.013753,0.013737,0.013563,0.013578,0.011976,0.013568,0.013621
00071 Fatty acid degradation [PATH:ko00071],0.011711,0.0099834,0.010285,0.010313,0.010351,0.01243,0.012794,0.010261,0.012739,0.01297,0.011804,0.013145,0.01305,0.014872,0.01066,0.013627,0.010506,0.013913,0.012655,0.012273,0.010921,0.010124,0.011971,0.013403,0.011108,0.011915,0.01241,0.010819,0.015003,0.014998,0.01614,0.016568,0.014078,0.016548,0.013379,0.012233,0.012397,0.012381,0.010762,0.012707,0.01183,0.011294,0.012315,0.013357,0.012395,0.012715,0.012979,0.012795,0.012536,0.014076,0.012127,0.012886,0.012922,0.012826,0.011656,0.013213,0.012335,0.010561,0.012488,0.010453,0.011533,0.013146,0.011984,0.011847,0.012837,0.012841,0.012058,0.012568,0.012389,0.012702,0.012057,0.011931,0.013643,0.010294,0.012928,0.013658,0.01233,0.012187,0.012326,0.011878,0.012677,0.012843,0.010565,0.011205,0.011029,0.011547,0.013561,0.011444,0.013284,0.013537,0.013451,0.011986,0.01198,0.01309,0.013034,0.012412,0.011554,0.011517,0.012978,0.011998,0.01321,0.012672,0.012765
00072 Synthesis and degradation of ketone bodies [PATH:ko00072],0.0027693,0.0014866,0.0015951,0.0015518,0.0016018,0.002292,0.002676,0.0015258,0.00224,0.0027229,0.0018849,0.0020516,0.0020219,0.00289,0.0016622,0.0025024,0.0015871,0.0033378,0.0022449,0.0019473,0.0020552,0.0015283,0.002514,0.003029,0.0017526,0.0021308,0.0024785,0.0015909,0.0029817,0.0031468,0.0033794,0.0026804,0.0025871,0.0026111,0.002794,0.001983,0.0018862,0.0017549,0.0015542,0.0025645,0.0016294,0.0016056,0.0019093,0.002211,0.0019659,0.0019962,0.0025658,0.0020216,0.0019617,0.0026011,0.001881,0.0021225,0.0022919,0.0019717,0.0017563,0.0024236,0.0019047,0.0016032,0.0029195,0.001515,0.0019643,0.0027207,0.0018641,0.0022526,0.0023194,0.0024663,0.0019264,0.0023638,0.0019855,0.0021191,0.0019425,0.0019419,0.0024995,0.0015499,0.002095,0.0027764,0.0019451,0.0020482,0.0023071,0.0017695,0.0019562,0.0023588,0.0015573,0.0017771,0.0018047,0.0019978,0.0029949,0.0019141,0.0028195,0.0025235,0.0026644,0.0021228,0.0020316,0.0026597,0.002673,0.0021374,0.001828,0.0016922,0.0022232,0.0019269,0.0027752,0.0020003,0.0019608
